Leaves,Order,Family,Subfamily,Genus,Family Definition
NC_041956,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_027389,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_027336,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_022334,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_041954,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_027623,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_027401,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_018841,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_018845,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_018840,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_027626,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_022339,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_018838,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_027627,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_018852,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_022342,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_054681,Autographivirales,Arrowviridae,Arquatrovirinae,Likavirus,Newly defined
NC_042051,Autographivirales,Arrowviridae,Arquatrovirinae,Likavirus,Newly defined
NC_054659,Autographivirales,Arrowviridae,Arquatrovirinae,Caelumvirus,Newly defined
NC_054664,Autographivirales,Arrowviridae,Arquatrovirinae,Caelumvirus,Newly defined
NC_054665,Autographivirales,Arrowviridae,Arquatrovirinae,Caelumvirus,Newly defined
NC_054663,Autographivirales,Arrowviridae,Arquatrovirinae,Caelumvirus,Newly defined
NC_054660,Autographivirales,Arrowviridae,Arquatrovirinae,Caelumvirus,Newly defined
NC_009541,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_054668,Autographivirales,Arrowviridae,Arquatrovirinae,Caelumvirus,Newly defined
NC_027333,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_027625,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_027367,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_022341,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_022340,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_018834,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_022337,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_027380,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_027295,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_027628,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_042052,Autographivirales,Arrowviridae,Arquatrovirinae,Likavirus,Newly defined
NC_028976,Autographivirales,Arrowviridae,Arquatrovirinae,Likavirus,Newly defined
NC_031078,Autographivirales,Arrowviridae,Arquatrovirinae,Likavirus,Newly defined
NC_054679,Autographivirales,Arrowviridae,Arquatrovirinae,Likavirus,Newly defined
NC_054678,Autographivirales,Arrowviridae,Arquatrovirinae,Likavirus,Newly defined
NC_028827,Autographivirales,Arrowviridae,Arquatrovirinae,Likavirus,Newly defined
NC_028892,Autographivirales,Arrowviridae,Arquatrovirinae,Likavirus,Newly defined
NC_054656,Autographivirales,Arrowviridae,Arquatrovirinae,Janusvirus,Newly defined
NC_054657,Autographivirales,Arrowviridae,Arquatrovirinae,,Newly defined
NC_054667,Autographivirales,Arrowviridae,Arquatrovirinae,Caelumvirus,Newly defined
NC_054669,Autographivirales,Arrowviridae,Arquatrovirinae,Caelumvirus,Newly defined
NC_054670,Autographivirales,Arrowviridae,Arquatrovirinae,Caelumvirus,Newly defined
NC_054666,Autographivirales,Arrowviridae,Arquatrovirinae,Caelumvirus,Newly defined
NC_022338,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_070968,Autographivirales,Arrowviridae,Arquatrovirinae,Janusvirus,Newly defined
NC_041955,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_027624,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_027354,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_054671,Autographivirales,Arrowviridae,Arquatrovirinae,Arequatrovirus,Newly defined
NC_054661,Autographivirales,Arrowviridae,Arquatrovirinae,Arequatrovirus,Newly defined
NC_021298,Autographivirales,Arrowviridae,Arquatrovirinae,Likavirus,Newly defined
NC_021304,Autographivirales,Arrowviridae,Arquatrovirinae,Likavirus,Newly defined
NC_054680,Autographivirales,Arrowviridae,Arquatrovirinae,Likavirus,Newly defined
NC_041860,Autographivirales,Arrowviridae,Arquatrovirinae,Likavirus,Newly defined
NC_021339,Autographivirales,Arrowviridae,Arquatrovirinae,Likavirus,Newly defined
NC_027391,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_027371,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_015454,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_018839,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_054658,Autographivirales,Arrowviridae,Arquatrovirinae,Caelumvirus,Newly defined
NC_027386,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_018842,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_027362,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_027346,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_027385,Autographivirales,Arrowviridae,,Pahexavirus,Newly defined
NC_055836,Thumleimavirales,Falchionviridae,,Foxunavirus,Newly defined
NC_054148,Thumleimavirales,Falchionviridae,Iiscvirinae,,Newly defined
NC_055835,Thumleimavirales,Falchionviridae,,Foxunavirus,Newly defined
NC_055837,Thumleimavirales,Falchionviridae,,Foxunavirus,Newly defined
NC_055838,Thumleimavirales,Falchionviridae,,Foxunavirus,Newly defined
NC_054149,Thumleimavirales,Falchionviridae,Iiscvirinae,Aryavirus,Newly defined
NC_025430,Thumleimavirales,Falchionviridae,Iiscvirinae,Jilinvirus,Newly defined
NC_031048,Thumleimavirales,Falchionviridae,Iiscvirinae,Aryavirus,Newly defined
NC_054146,Thumleimavirales,Falchionviridae,,,Newly defined
NC_023006,Thumleimavirales,Falchionviridae,Iiscvirinae,,Newly defined
NC_054147,Thumleimavirales,Falchionviridae,Iiscvirinae,,Newly defined
NC_041926,Thumleimavirales,Falchionviridae,Iiscvirinae,Jilinvirus,Newly defined
NC_027995,Thumleimavirales,Falchionviridae,Iiscvirinae,Jilinvirus,Newly defined
NC_048826,Vilmavirales,Falconetviridae,,Lambovirus,Newly defined
NC_048814,Vilmavirales,Falconetviridae,,Lambovirus,Newly defined
NC_070765,Vilmavirales,Falconetviridae,,,Newly defined
NC_008200,Vilmavirales,Falconetviridae,Dclasvirinae,,Newly defined
NC_042033,Vilmavirales,Falconetviridae,,Papyrusvirus,Newly defined
NC_024209,Vilmavirales,Falconetviridae,Dclasvirinae,,Newly defined
NC_022053,Vilmavirales,Falconetviridae,,Papyrusvirus,Newly defined
NC_048812,Vilmavirales,Falconetviridae,,Lambovirus,Newly defined
NC_048815,Vilmavirales,Falconetviridae,,Lambovirus,Newly defined
NC_070760,Vilmavirales,Falconetviridae,,,Newly defined
NC_047986,Vilmavirales,Falconetviridae,,,Newly defined
NC_048813,Vilmavirales,Falconetviridae,,Lambovirus,Newly defined
NC_049442,Bayonettevirales,Fauchardviridae,,Klausavirus,Newly defined
NC_049489,Bayonettevirales,Fauchardviridae,,Klausavirus,Newly defined
NC_049465,Bayonettevirales,Fauchardviridae,,,Newly defined
NC_026606,Bayonettevirales,Fauchardviridae,,Klausavirus,Newly defined
NC_042053,Bayonettevirales,Fauchardviridae,,Klausavirus,Newly defined
NC_042000,Bayonettevirales,Fauchardviridae,,Klausavirus,Newly defined
NC_049471,Bayonettevirales,Fauchardviridae,,Klausavirus,Newly defined
NC_019708,Drexlervirales,Flintlockviridae,Hendrixvirinae,Nochtlivirus,Newly defined
NC_019705,Drexlervirales,Flintlockviridae,Hendrixvirinae,Nochtlivirus,Newly defined
NC_019715,Drexlervirales,Flintlockviridae,Hendrixvirinae,Kwaitsingvirus,Newly defined
NC_016160,Drexlervirales,Flintlockviridae,Hendrixvirinae,Kwaitsingvirus,Newly defined
NC_019719,Drexlervirales,Flintlockviridae,Hendrixvirinae,Kwaitsingvirus,Newly defined
NC_019769,Drexlervirales,Flintlockviridae,Hendrixvirinae,Kwaitsingvirus,Newly defined
NC_019714,Drexlervirales,Flintlockviridae,Hendrixvirinae,Kwaitsingvirus,Newly defined
NC_019767,Drexlervirales,Flintlockviridae,Hendrixvirinae,Kwaitsingvirus,Newly defined
NC_002167,Drexlervirales,Flintlockviridae,Hendrixvirinae,,Newly defined
NC_002166,Drexlervirales,Flintlockviridae,,,Newly defined
NC_019768,Drexlervirales,Flintlockviridae,Hendrixvirinae,Kwaitsingvirus,Newly defined
NC_049926,Drexlervirales,Flintlockviridae,Hendrixvirinae,,Newly defined
NC_019710,Drexlervirales,Flintlockviridae,Hendrixvirinae,,Newly defined
NC_019709,Drexlervirales,Flintlockviridae,Hendrixvirinae,,Newly defined
NC_019706,Drexlervirales,Flintlockviridae,,Aguilavirus,Newly defined
NC_019720,Drexlervirales,Flintlockviridae,,Aguilavirus,Newly defined
NC_049950,Drexlervirales,Glaiveviridae,,,Newly defined
NC_049946,Drexlervirales,Glaiveviridae,,,Newly defined
NC_001901,Drexlervirales,Glaiveviridae,,,Newly defined
NC_007917,Thumleimavirales,Glockviridae,,,Newly defined
NC_022980,Thumleimavirales,Glockviridae,,Abouovirus,Newly defined
NC_029029,Thumleimavirales,Glockviridae,,Abouovirus,Newly defined
NC_028969,Thumleimavirales,Glockviridae,,Abouovirus,Newly defined
NC_041976,Thumleimavirales,Glockviridae,,Abouovirus,Newly defined
NC_041892,Vilmavirales,Gramrviridae,,Anatolevirus,Newly defined
NC_041890,Vilmavirales,Gramrviridae,,Anatolevirus,Newly defined
NC_041895,Vilmavirales,Gramrviridae,,Doucettevirus,Newly defined
NC_041894,Vilmavirales,Gramrviridae,,Doucettevirus,Newly defined
NC_041893,Vilmavirales,Gramrviridae,,Doucettevirus,Newly defined
NC_041891,Vilmavirales,Gramrviridae,,Doucettevirus,Newly defined
NC_031076,Vilmavirales,Gramrviridae,,,Newly defined
NC_049470,Vilmavirales,Grenadeviridae,,,Newly defined
NC_027987,Vilmavirales,Gungnirviridae,Mccleskeyvirinae,Unaquatrovirus,Newly defined
NC_024385,Vilmavirales,Gungnirviridae,,Limdunavirus,Newly defined
NC_024390,Vilmavirales,Gungnirviridae,,Limdunavirus,Newly defined
NC_020880,Vilmavirales,Gungnirviridae,,Limdunavirus,Newly defined
NC_054987,Vilmavirales,Gungnirviridae,,Limdunavirus,Newly defined
NC_024388,Vilmavirales,Gungnirviridae,Mccleskeyvirinae,Unaquatrovirus,Newly defined
NC_027358,Vilmavirales,Gungnirviridae,Mccleskeyvirinae,Unaquatrovirus,Newly defined
NC_024386,Vilmavirales,Gungnirviridae,Mccleskeyvirinae,Unaquatrovirus,Newly defined
NC_054988,Vilmavirales,Gungnirviridae,Mccleskeyvirinae,,Newly defined
NC_020870,Vilmavirales,Gungnirviridae,,Limdunavirus,Newly defined
NC_054986,Vilmavirales,Gungnirviridae,,Limdunavirus,Newly defined
NC_018273,Vilmavirales,Gungnirviridae,,Limdunavirus,Newly defined
NC_055050,Vilmavirales,Atlatlviridae,,,Newly defined
NC_048104,Demerecvirales,Halberdviridae,,Lidleunavirus,Newly defined
NC_026609,Demerecvirales,Halberdviridae,,Lidleunavirus,Newly defined
NC_047925,Demerecvirales,Halberdviridae,Tybeckvirinae,Lenusvirus,Newly defined
NC_047764,Demerecvirales,Halberdviridae,Tybeckvirinae,,Newly defined
NC_047760,Demerecvirales,Halberdviridae,Tybeckvirinae,Lenusvirus,Newly defined
NC_047931,Demerecvirales,Halberdviridae,Tybeckvirinae,Maenadvirus,Newly defined
NC_047918,Demerecvirales,Halberdviridae,Tybeckvirinae,Maenadvirus,Newly defined
NC_047739,Demerecvirales,Halberdviridae,Tybeckvirinae,Maenadvirus,Newly defined
NC_023582,Demerecvirales,Halberdviridae,,Sextaecvirus,Newly defined
NC_047897,Demerecvirales,Halberdviridae,Tybeckvirinae,Lenusvirus,Newly defined
NC_024355,Demerecvirales,Halberdviridae,,Sextaecvirus,Newly defined
NC_042109,Vilmavirales,Howitzerviridae,,,Newly defined
NC_030942,Vilmavirales,Incendiarviridae,,,Newly defined
NC_048018,Vilmavirales,Incendiarviridae,Langleyhallvirinae,,Newly defined
NC_031936,Vilmavirales,Incendiarviridae,,,Newly defined
NC_031267,Vilmavirales,Incendiarviridae,,,Newly defined
NC_048039,Vilmavirales,Incendiarviridae,Langleyhallvirinae,Horusvirus,Newly defined
NC_048040,Vilmavirales,Incendiarviridae,Langleyhallvirinae,Horusvirus,Newly defined
NC_048083,Vilmavirales,Incendiarviridae,Langleyhallvirinae,Getalongvirus,Newly defined
NC_048146,Vilmavirales,Incendiarviridae,Langleyhallvirinae,Getalongvirus,Newly defined
NC_048141,Vilmavirales,Incendiarviridae,Langleyhallvirinae,Getalongvirus,Newly defined
NC_047891,Vilmavirales,Incendiarviridae,Langleyhallvirinae,,Newly defined
NC_018831,Demerecvirales,Javelinviridae,,Homburgvirus,Newly defined
NC_021785,Demerecvirales,Javelinviridae,,Homburgvirus,Newly defined
NC_021787,Demerecvirales,Javelinviridae,,Homburgvirus,Newly defined
NC_024375,Demerecvirales,Javelinviridae,,Homburgvirus,Newly defined
NC_024392,Demerecvirales,Javelinviridae,,Homburgvirus,Newly defined
NC_017981,Thumleimavirales,Kalisviridae,,Dibbivirus,Newly defined
NC_048649,Thumleimavirales,Kalisviridae,,Rosemountvirus,Newly defined
NC_048766,Thumleimavirales,Kalisviridae,,Dibbivirus,Newly defined
NC_048767,Thumleimavirales,Kalisviridae,,Dibbivirus,Newly defined
NC_031250,Thumleimavirales,Kalisviridae,,Rosemountvirus,Newly defined
NC_048863,Thumleimavirales,Kalisviridae,,Rosemountvirus,Newly defined
NC_048864,Thumleimavirales,Kalisviridae,,Rosemountvirus,Newly defined
NC_048751,Thumleimavirales,Kalisviridae,,,Newly defined
NC_048179,Thumleimavirales,Kalisviridae,,Rosemountvirus,Newly defined
NC_048763,Thumleimavirales,Kalisviridae,,Rosemountvirus,Newly defined
NC_070875,Drexlervirales,Kamikazeviridae,,,Newly defined
NC_042029,Drexlervirales,Kamikazeviridae,,,Newly defined
NC_028777,Demerecvirales,Karambitviridae,,Slashvirus,Newly defined
NC_028856,Demerecvirales,Karambitviridae,,Slashvirus,Newly defined
NC_022774,Demerecvirales,Karambitviridae,,Slashvirus,Newly defined
NC_022767,Demerecvirales,Karambitviridae,,Slashvirus,Newly defined
NC_070845,Demerecvirales,Karambitviridae,Sejongvirinae,,Newly defined
NC_070842,Demerecvirales,Karambitviridae,Sejongvirinae,Basiliskvirus,Newly defined
NC_070841,Demerecvirales,Karambitviridae,Sejongvirinae,Basiliskvirus,Newly defined
NC_070843,Demerecvirales,Karambitviridae,Sejongvirinae,Basiliskvirus,Newly defined
NC_070844,Demerecvirales,Karambitviridae,Sejongvirinae,Basiliskvirus,Newly defined
NC_009737,Bardichvirales,Katanaviridae,,Svunavirus,Newly defined
NC_048633,Bardichvirales,Katanaviridae,,Hubeivirus,Newly defined
NC_007734,Bardichvirales,Katanaviridae,,,Newly defined
NC_048631,Bardichvirales,Katanaviridae,,,Newly defined
NC_048641,Bardichvirales,Katanaviridae,,Hubeivirus,Newly defined
NC_008376,Bardichvirales,Katanaviridae,,Svunavirus,Newly defined
NC_019408,Demerecvirales,Khopeshviridae,Dolichocephalovirinae,Poindextervirus,Newly defined
NC_041927,Demerecvirales,Khopeshviridae,,,Newly defined
NC_048045,Demerecvirales,Khopeshviridae,Dolichocephalovirinae,Poindextervirus,Newly defined
NC_019411,Demerecvirales,Khopeshviridae,Dolichocephalovirinae,Poindextervirus,Newly defined
NC_019406,Demerecvirales,Khopeshviridae,Dolichocephalovirinae,Colossusvirus,Newly defined
NC_019405,Demerecvirales,Khopeshviridae,Dolichocephalovirinae,Poindextervirus,Newly defined
NC_048047,Demerecvirales,Khopeshviridae,Dolichocephalovirinae,Bertelyvirus,Newly defined
NC_048048,Demerecvirales,Khopeshviridae,Dolichocephalovirinae,Bertelyvirus,Newly defined
NC_048046,Demerecvirales,Khopeshviridae,Dolichocephalovirinae,Colossusvirus,Newly defined
NC_008202,Vilmavirales,Ballistaviridae,Gclasvirinae,Liefievirus,Newly defined
NC_023744,Vilmavirales,Ballistaviridae,,,Newly defined
NC_051590,Vilmavirales,Ballistaviridae,Weiservirinae_2,Fionnbharthvirus,Newly defined
NC_051591,Vilmavirales,Ballistaviridae,Weiservirinae_2,Fionnbharthvirus,Newly defined
NC_027365,Vilmavirales,Ballistaviridae,Weiservirinae_2,Fionnbharthvirus,Newly defined
NC_051616,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051588,Vilmavirales,Ballistaviridae,Weiservirinae_2,,Newly defined
NC_051589,Vilmavirales,Ballistaviridae,Weiservirinae_2,,Newly defined
NC_051596,Vilmavirales,Ballistaviridae,Weiservirinae_1,Kratiovirus,Newly defined
NC_028832,Vilmavirales,Ballistaviridae,Weiservirinae_1,Kratiovirus,Newly defined
NC_023705,Vilmavirales,Ballistaviridae,Gclasvirinae,Liefievirus,Newly defined
NC_051592,Vilmavirales,Ballistaviridae,Weiservirinae_2,Fionnbharthvirus,Newly defined
NC_054442,Vilmavirales,Ballistaviridae,Gclasvirinae,Liefievirus,Newly defined
NC_023604,Vilmavirales,Ballistaviridae,Gclasvirinae,Avocadovirus,Newly defined
NC_054441,Vilmavirales,Ballistaviridae,Gclasvirinae,Liefievirus,Newly defined
NC_054439,Vilmavirales,Ballistaviridae,Gclasvirinae,Liefievirus,Newly defined
NC_054447,Vilmavirales,Ballistaviridae,Gclasvirinae,Avocadovirus,Newly defined
NC_028791,Vilmavirales,Ballistaviridae,Gclasvirinae,Avocadovirus,Newly defined
NC_054444,Vilmavirales,Ballistaviridae,Gclasvirinae,Avocadovirus,Newly defined
NC_028861,Vilmavirales,Ballistaviridae,Gclasvirinae,Avocadovirus,Newly defined
NC_028922,Vilmavirales,Ballistaviridae,Gclasvirinae,Avocadovirus,Newly defined
NC_054443,Vilmavirales,Ballistaviridae,Gclasvirinae,Avocadovirus,Newly defined
NC_054446,Vilmavirales,Ballistaviridae,Gclasvirinae,Avocadovirus,Newly defined
NC_054445,Vilmavirales,Ballistaviridae,Gclasvirinae,Avocadovirus,Newly defined
NC_051597,Vilmavirales,Ballistaviridae,Weiservirinae_1,Kratiovirus,Newly defined
NC_054440,Vilmavirales,Ballistaviridae,Gclasvirinae,Liefievirus,Newly defined
NC_051595,Vilmavirales,Ballistaviridae,Weiservirinae_1,Kratiovirus,Newly defined
NC_051594,Vilmavirales,Ballistaviridae,Weiservirinae_1,Kratiovirus,Newly defined
NC_031035,Vilmavirales,Ballistaviridae,Weiservirinae_1,Kratiovirus,Newly defined
NC_051617,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051618,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051620,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051630,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051612,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_042031,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051614,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051611,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_003387,Vilmavirales,Ballistaviridae,Weiservirinae_1,Timquatrovirus,Newly defined
NC_024147,Vilmavirales,Ballistaviridae,Weiservirinae_1,Timquatrovirus,Newly defined
NC_051598,Vilmavirales,Ballistaviridae,Weiservirinae_1,Timquatrovirus,Newly defined
NC_028759,Vilmavirales,Ballistaviridae,Weiservirinae_1,Timquatrovirus,Newly defined
NC_014458,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_014459,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_042332,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051610,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051615,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051626,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_028978,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051628,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051621,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051622,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051624,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051619,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_023498,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051593,Vilmavirales,Ballistaviridae,Weiservirinae_1,Kratiovirus,Newly defined
NC_028947,Vilmavirales,Ballistaviridae,Weiservirinae_1,Kratiovirus,Newly defined
NC_023724,Vilmavirales,Ballistaviridae,Weiservirinae_1,Kratiovirus,Newly defined
NC_051613,Vilmavirales,Ballistaviridae,Weiservirinae_1,,Newly defined
NC_051607,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051606,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051609,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051605,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051608,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_042338,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051631,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051604,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_028846,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_026603,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051602,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051603,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051601,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051600,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051599,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051629,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051627,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051625,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_042325,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_051623,Vilmavirales,Ballistaviridae,Weiservirinae_1,Anayavirus,Newly defined
NC_001978,Vilmavirales,Kukriviridae,,Lomovskayavirus,Newly defined
NC_004664,Vilmavirales,Kukriviridae,,Lomovskayavirus,Newly defined
NC_018853,Vilmavirales,Kukriviridae,,Lomovskayavirus,Newly defined
NC_048155,Vilmavirales,Kukriviridae,,Lomovskayavirus,Newly defined
NC_048154,Vilmavirales,Kukriviridae,,Lomovskayavirus,Newly defined
NC_022756,Bardichvirales,Kusanagiviridae,,Junavirus,Newly defined
NC_004112,Bardichvirales,Kusanagiviridae,,,Newly defined
NC_005893,Bardichvirales,Kusanagiviridae,,,Newly defined
NC_022757,Bardichvirales,Kusanagiviridae,,Junavirus,Newly defined
NC_048680,Bardichvirales,Kusanagiviridae,,Junavirus,Newly defined
NC_005357,Labrysvirales,Labrysviridae,,,Newly defined
NC_070881,Labrysvirales,Labrysviridae,,,Newly defined
NC_047958,Labrysvirales,Labrysviridae,,,Newly defined
NC_005887,Labrysvirales,Labrysviridae,,,Newly defined
NC_048778,Labrysvirales,Laevateinnviridae,Eekayvirinae,,Newly defined
NC_048761,Labrysvirales,Laevateinnviridae,Eekayvirinae,Akonivirus,Newly defined
NC_048777,Labrysvirales,Laevateinnviridae,Eekayvirinae,,Newly defined
NC_048877,Labrysvirales,Laevateinnviridae,Eekayvirinae,Akonivirus,Newly defined
NC_048165,Bayonettevirales,Lassoviridae,,Metamorphoovirus,Newly defined
NC_047993,Bayonettevirales,Lassoviridae,,Metamorphoovirus,Newly defined
NC_047987,Bayonettevirales,Lassoviridae,,,Newly defined
NC_047989,Bayonettevirales,Lassoviridae,,Metamorphoovirus,Newly defined
NC_047976,Bayonettevirales,Lassoviridae,,Metamorphoovirus,Newly defined
NC_048020,Bayonettevirales,Lassoviridae,,Metamorphoovirus,Newly defined
NC_047988,Bayonettevirales,Lassoviridae,,Metamorphoovirus,Newly defined
NC_005344,Drexlervirales,Mangonelviridae,,,Newly defined
NC_002730,Drexlervirales,Mangonelviridae,,,Newly defined
NC_070931,Thumleimavirales,Masamuneviridae,,,Newly defined
NC_000929,Thumleimavirales,Masamuneviridae,,Muvirus,Newly defined
NC_027382,Thumleimavirales,Masamuneviridae,,Muvirus,Newly defined
NC_005882,Thumleimavirales,Masamuneviridae,,Bcepmuvirus,Newly defined
NC_009237,Thumleimavirales,Masamuneviridae,,Bcepmuvirus,Newly defined
NC_047913,Thumleimavirales,Masamuneviridae,,,Newly defined
NC_041879,Demerecvirales,Matchlockviridae,,,Newly defined
NC_023691,Vilmavirales,Mjï¿½lnirviridae,,,Newly defined
NC_007059,Bardichvirales,Bardicheviridae,Azeredovirinae_1,Phietavirus_8,Newly defined
NC_007049,Bardichvirales,Bardicheviridae,Azeredovirinae_2,Dubowvirus_1,Newly defined
NC_007048,Bardichvirales,Bardicheviridae,Azeredovirinae_2,Dubowvirus_1,Newly defined
NC_004615,Bardichvirales,Bardicheviridae,Azeredovirinae_2,,Newly defined
NC_028917,Bardichvirales,Bardicheviridae,Azeredovirinae_1,,Newly defined
NC_028859,Bardichvirales,Bardicheviridae,Azeredovirinae_1,Phietavirus_3,Newly defined
NC_054979,Bardichvirales,Bardicheviridae,Azeredovirinae_1,Phietavirus_3,Newly defined
NC_008799,Bardichvirales,Bardicheviridae,Azeredovirinae_1,Phietavirus_3,Newly defined
NC_021332,Bardichvirales,Bardicheviridae,Azeredovirinae_1,,Newly defined
NC_054982,Bardichvirales,Bardicheviridae,Azeredovirinae_1,Phietavirus_5,Newly defined
NC_007057,Bardichvirales,Bardicheviridae,Azeredovirinae_1,Phietavirus_5,Newly defined
NC_054980,Bardichvirales,Bardicheviridae,Azeredovirinae_1,Phietavirus_6,Newly defined
NC_010147,Bardichvirales,Bardicheviridae,Azeredovirinae_1,Phietavirus_6,Newly defined
NC_028864,Bardichvirales,Bardicheviridae,Azeredovirinae_1,Phietavirus_4,Newly defined
NC_028669,Bardichvirales,Bardicheviridae,Azeredovirinae_1,Phietavirus_4,Newly defined
NC_007058,Bardichvirales,Bardicheviridae,Azeredovirinae_1,Phietavirus_4,Newly defined
