protein,refseq_genbank_entry,predicted_pfam,pfam_definition,cluster_genome_accn,cluster_phage
YP_009596917.1,YP_009596917.1 hypothetical protein FDH09_gp53 [Propionibacterium phage B3],PF17469,Gp68-like predicted RNA polymerase component,NC_041892,Propionibacterium phage B3
YP_009596918.1,YP_009596918.1 hypothetical protein FDH09_gp54 [Propionibacterium phage B3],PF10788,Protein of unknown function (DUF2603),NC_041892,Propionibacterium phage B3
YP_009596920.1,YP_009596920.1 hypothetical protein FDH09_gp56 [Propionibacterium phage B3],PF04492,Bacteriophage replication protein O,NC_041892,Propionibacterium phage B3
YP_009596943.1,YP_009596943.1 membrane protein [Propionibacterium phage Doucette],PF10762,Protein of unknown function (DUF2583),NC_041893,Propionibacterium phage Doucette
YP_009596969.1,YP_009596969.1 hypothetical protein FDH10_gp48 [Propionibacterium phage Doucette],PF11480,Colicin-E5 Imm protein,NC_041893,Propionibacterium phage Doucette
YP_009597006.1,YP_009597006.1 hypothetical protein FDH11_gp24 [Propionibacterium phage E6],PF03887,YfbU domain,NC_041894,Propionibacterium phage E6
YP_009597008.1,YP_009597008.1 membrane protein [Propionibacterium phage E6],PF16081,Mycobacterial 2 TMS Phage Holin (M2 Hol) Family,NC_041894,Propionibacterium phage E6
YP_009597019.1,YP_009597019.1 hypothetical protein FDH11_gp37 [Propionibacterium phage E6],PF06322,Phage NinH protein,NC_041894,Propionibacterium phage E6
YP_009597048.1,YP_009597048.1 hypothetical protein FDH12_gp06 [Propionibacterium phage G4],PF04791,LMBR1-like membrane protein,NC_041895,Propionibacterium phage G4
YP_009597057.1,YP_009597057.1 tail assembly chaperone [Propionibacterium phage G4],PF03887,YfbU domain,NC_041895,Propionibacterium phage G4
YP_009597082.1,YP_009597082.1 hypothetical protein FDH12_gp40 [Propionibacterium phage G4],PF10911,Bacteriophage T7-like gene 6.5,NC_041895,Propionibacterium phage G4
YP_009597095.1,YP_009597095.1 hypothetical protein FDH12_gp53 [Propionibacterium phage G4],PF15549,PGC7/Stella/Dppa3 domain,NC_041895,Propionibacterium phage G4
YP_009597105.1,YP_009597105.1 hypothetical protein FDH12_gp63 [Propionibacterium phage G4],PF07126,Cell-division protein ZapC C-terminal,NC_041895,Propionibacterium phage G4
YP_009597110.1,YP_009597110.1 hypothetical protein FDH12_gp68 [Propionibacterium phage G4],PF04457,MJ1316 RNA cyclic group end recognition domain,NC_041895,Propionibacterium phage G4
YP_009597122.1,YP_009597122.1 hypothetical protein FDH13_gp011 [Campylobacter phage vB_CjeM_Los1],PF06331,Transcription factor TFIIH complex subunit Tfb5,NC_041896,Campylobacter phage vB_CjeM_Los1
YP_009597156.1,YP_009597156.1 hypothetical protein FDH13_gp045 [Campylobacter phage vB_CjeM_Los1],PF17324,BLOC-1 interactor 1,NC_041896,Campylobacter phage vB_CjeM_Los1
YP_009597174.1,YP_009597174.1 hypothetical protein FDH13_gp063 [Campylobacter phage vB_CjeM_Los1],PF01696,Adenovirus EB1 55K protein / large t-antigen,NC_041896,Campylobacter phage vB_CjeM_Los1
YP_009597190.1,YP_009597190.1 hypothetical protein FDH13_gp079 [Campylobacter phage vB_CjeM_Los1],PF06138,Chordopoxvirus E11 protein,NC_041896,Campylobacter phage vB_CjeM_Los1
YP_009597195.1,YP_009597195.1 hypothetical protein FDH13_gp084 [Campylobacter phage vB_CjeM_Los1],PF10757,Biofilm formation regulator YbaJ,NC_041896,Campylobacter phage vB_CjeM_Los1
YP_009597204.1,YP_009597204.1 hypothetical protein FDH13_gp093 [Campylobacter phage vB_CjeM_Los1],PF05256,Uncharacterised protein family (UPF0223),NC_041896,Campylobacter phage vB_CjeM_Los1
YP_009597205.1,YP_009597205.1 hypothetical protein FDH13_gp094 [Campylobacter phage vB_CjeM_Los1],PF17442,Functional domain of U62 and UL91 proteins,NC_041896,Campylobacter phage vB_CjeM_Los1
YP_009597216.1,YP_009597216.1 hypothetical protein FDH13_gp105 [Campylobacter phage vB_CjeM_Los1],PF08396,Spider toxin omega agatoxin/Tx1 family,NC_041896,Campylobacter phage vB_CjeM_Los1
YP_009597223.1,YP_009597223.1 hypothetical protein FDH13_gp112 [Campylobacter phage vB_CjeM_Los1],PF06174,Protein of unknown function (DUF987),NC_041896,Campylobacter phage vB_CjeM_Los1
YP_009597245.1,YP_009597245.1 hypothetical protein FDH13_gp134 [Campylobacter phage vB_CjeM_Los1],PF06569,Protein of unknown function (DUF1128),NC_041896,Campylobacter phage vB_CjeM_Los1
YP_009597253.1,YP_009597253.1 hypothetical protein FDH13_gp142 [Campylobacter phage vB_CjeM_Los1],PF17282,Family of unknown function (DUF5347),NC_041896,Campylobacter phage vB_CjeM_Los1
YP_009597272.1,YP_009597272.1 hypothetical protein FDH13_gp161 [Campylobacter phage vB_CjeM_Los1],PF01677,Herpesvirus UL7 like,NC_041896,Campylobacter phage vB_CjeM_Los1
YP_009597337.1,YP_009597337.1 Rz-like spanin [Escherichia phage K1ind2],PF10828,Protein of unknown function (DUF2570),NC_041898,Escherichia phage K1ind2
YP_009597341.1,YP_009597341.1 virion structural protein [Escherichia phage K1ind2],PF11133,Head fiber protein,NC_041898,Escherichia phage K1ind2
YP_009597364.1,YP_009597364.1 DNA methyltransferase [Escherichia phage K1ind2],PF01885,RNA,NC_041898,Escherichia phage K1ind2
YP_009597377.1,YP_009597377.1 hypothetical protein FDH15_gp46 [Escherichia phage K1ind2],PF07747,MTH865-like family,NC_041898,Escherichia phage K1ind2
YP_009597383.1,YP_009597383.1 hypothetical protein FDH16_gp004 [Klebsiella phage vB_Kpn_IME260],PF01886,Protein of unknown function DUF61,NC_041899,Klebsiella phage vB_Kpn_IME260
YP_009597387.1,YP_009597387.1 hypothetical protein FDH16_gp008 [Klebsiella phage vB_Kpn_IME260],PF00358,phosphoenolpyruvate-dependent sugar phosphotransferase system EIIA 1,NC_041899,Klebsiella phage vB_Kpn_IME260
YP_009597390.1,YP_009597390.1 hypothetical protein FDH16_gp011 [Klebsiella phage vB_Kpn_IME260],PF05271,Tobravirus 2B protein,NC_041899,Klebsiella phage vB_Kpn_IME260
YP_009597392.1,YP_009597392.1 S9 family peptidase [Klebsiella phage vB_Kpn_IME260],PF16541,Alternaria alternata allergen 1,NC_041899,Klebsiella phage vB_Kpn_IME260
YP_009597412.1,YP_009597412.1 hypothetical protein FDH16_gp033 [Klebsiella phage vB_Kpn_IME260],PF17057,Poxviridae B3 protein,NC_041899,Klebsiella phage vB_Kpn_IME260
YP_009597423.1,YP_009597423.1 hypothetical protein FDH16_gp044 [Klebsiella phage vB_Kpn_IME260],PF05798,Bacteriophage FRD3 protein,NC_041899,Klebsiella phage vB_Kpn_IME260
YP_009597449.1,YP_009597449.1 hypothetical protein FDH16_gp137 [Klebsiella phage vB_Kpn_IME260],PF17324,BLOC-1 interactor 1,NC_041899,Klebsiella phage vB_Kpn_IME260
YP_009597498.1,YP_009597498.1 tail length tape measure protein [Klebsiella phage vB_Kpn_IME260],PF09718,Lambda phage tail tape-measure protein (Tape_meas_lam_C),NC_041899,Klebsiella phage vB_Kpn_IME260
YP_009597526.1,YP_009597526.1 hypothetical protein FDH16_gp060 [Klebsiella phage vB_Kpn_IME260],PF00161,Ribosome inactivating protein,NC_041899,Klebsiella phage vB_Kpn_IME260
YP_009597602.1,YP_009597602.1 hypothetical protein FDH17_gp74 [Klebsiella phage vB_KpnM_KpV52],PF02061,Lambda Phage CIII,NC_041900,Klebsiella phage vB_KpnM_KpV52
YP_009597607.1,YP_009597607.1 hypothetical protein FDH18_gp004 [Mycobacterium phage Lukilu],PF06569,Protein of unknown function (DUF1128),NC_041901,Mycobacterium phage Lukilu
YP_009597631.1,YP_009597631.1 DNA binding protein [Mycobacterium phage Lukilu],PF01402,Ribbon-helix-helix protein copG family,NC_041901,Mycobacterium phage Lukilu
YP_009597674.1,YP_009597674.1 hypothetical protein FDH18_gp071 [Mycobacterium phage Lukilu],PF10746,Phage holin T7 family holin superfamily II,NC_041901,Mycobacterium phage Lukilu
YP_009597678.1,YP_009597678.1 hypothetical protein FDH18_gp220 [Mycobacterium phage Lukilu],PF05009,Epstein-Barr virus nuclear antigen 3 (EBNA-3),NC_041901,Mycobacterium phage Lukilu
YP_009597686.1,YP_009597686.1 LysM-like endolysin [Mycobacterium phage Lukilu],PF01464,Transglycosylase SLT domain,NC_041901,Mycobacterium phage Lukilu
YP_009597783.1,YP_009597783.1 hypothetical protein FDH18_gp115 [Mycobacterium phage Lukilu],PF17469,Gp68-like predicted RNA polymerase component,NC_041901,Mycobacterium phage Lukilu
YP_009597787.1,YP_009597787.1 hypothetical protein FDH18_gp111 [Mycobacterium phage Lukilu],PF17640,Uncharacterized UL17,NC_041901,Mycobacterium phage Lukilu
YP_009597789.1,YP_009597789.1 hypothetical protein FDH18_gp109 [Mycobacterium phage Lukilu],PF16362,YaiA protein,NC_041901,Mycobacterium phage Lukilu
YP_009597795.1,YP_009597795.1 hypothetical protein FDH18_gp103 [Mycobacterium phage Lukilu],PF10965,Protein of unknown function (DUF2767),NC_041901,Mycobacterium phage Lukilu
YP_009597824.1,YP_009597824.1 hypothetical protein FDH18_gp074 [Mycobacterium phage Lukilu],PF08138,Sex peptide (SP) family,NC_041901,Mycobacterium phage Lukilu
YP_009597828.1,YP_009597828.1 hypothetical protein FDH19_gp004 [Pseudomonas phage PA5],PF06033,Nucleopolyhedrovirus protein of unknown function (DUF918),NC_041902,Pseudomonas phage PA5
YP_009597848.1,YP_009597848.1 hypothetical protein FDH19_gp024 [Pseudomonas phage PA5],PF16855,Small outer capsid protein,NC_041902,Pseudomonas phage PA5
YP_009597935.1,YP_009597935.1 hypothetical protein FDH20_gp010 [Pseudomonas phage PA10],PF01893,Uncharacterised protein family UPF0058,NC_041903,Pseudomonas phage PA10
YP_009597954.1,YP_009597954.1 hypothetical protein FDH20_gp029 [Pseudomonas phage PA10],PF03622,IBV 3B protein,NC_041903,Pseudomonas phage PA10
YP_009597957.1,YP_009597957.1 hypothetical protein FDH20_gp032 [Pseudomonas phage PA10],PF06331,Transcription factor TFIIH complex subunit Tfb5,NC_041903,Pseudomonas phage PA10
YP_009597983.1,YP_009597983.1 hypothetical protein FDH20_gp058 [Pseudomonas phage PA10],PF05854,Non-histone chromosomal protein MC1,NC_041903,Pseudomonas phage PA10
YP_009597990.1,YP_009597990.1 hypothetical protein FDH20_gp065 [Pseudomonas phage PA10],PF09784,Mitochondrial ribosomal protein L31,NC_041903,Pseudomonas phage PA10
YP_009598011.1,YP_009598011.1 hypothetical protein FDH20_gp086 [Pseudomonas phage PA10],PF11520,Chromatin protein Cren7,NC_041903,Pseudomonas phage PA10
YP_009598013.1,YP_009598013.1 hypothetical protein FDH20_gp088 [Pseudomonas phage PA10],PF06227,Poxvirus Bcl-2-like proteins,NC_041903,Pseudomonas phage PA10
YP_009598022.1,YP_009598022.1 hypothetical protein FDH20_gp097 [Pseudomonas phage PA10],PF03622,IBV 3B protein,NC_041903,Pseudomonas phage PA10
YP_009598054.1,YP_009598054.1 hypothetical protein FDH21_gp002 [Pseudomonas phage Zigelbrucke],PF05256,Uncharacterised protein family (UPF0223),NC_041904,Pseudomonas phage Zigelbrucke
YP_009598060.1,YP_009598060.1 hypothetical protein FDH21_gp008 [Pseudomonas phage Zigelbrucke],PF20543,N2-fixation sustaining protein CowN,NC_041904,Pseudomonas phage Zigelbrucke
YP_009598097.1,YP_009598097.1 hypothetical protein FDH21_gp045 [Pseudomonas phage Zigelbrucke],PF04662,Luteovirus P0 protein,NC_041904,Pseudomonas phage Zigelbrucke
YP_009598135.1,YP_009598135.1 nucleoside triphosphate pyrophosphohydrolase domain containing protein [Pseudomonas phage Zigelbrucke],PF04447,dATP/dGTP pyrophosphohydrolase,NC_041904,Pseudomonas phage Zigelbrucke
YP_009598164.1,YP_009598164.1 hypothetical protein FDH21_gp106 [Pseudomonas phage Zigelbrucke],PF07126,Cell-division protein ZapC C-terminal,NC_041904,Pseudomonas phage Zigelbrucke
YP_009598182.1,YP_009598182.1 hypothetical protein FDH21_gp088 [Pseudomonas phage Zigelbrucke],PF10788,Protein of unknown function (DUF2603),NC_041904,Pseudomonas phage Zigelbrucke
YP_009598183.1,YP_009598183.1 hypothetical protein FDH21_gp087 [Pseudomonas phage Zigelbrucke],PF18512,Benzylsuccinate synthase beta subunit,NC_041904,Pseudomonas phage Zigelbrucke
YP_009598193.1,YP_009598193.1 hypothetical protein FDH21_gp077 [Pseudomonas phage Zigelbrucke],PF06855,YozE SAM-like fold,NC_041904,Pseudomonas phage Zigelbrucke
YP_009598203.1,YP_009598203.1 hypothetical protein FDH21_gp067 [Pseudomonas phage Zigelbrucke],PF03270,Protein of unknown function DUF269,NC_041904,Pseudomonas phage Zigelbrucke
YP_009598215.1,YP_009598215.1 hypothetical protein FDH21_gp055 [Pseudomonas phage Zigelbrucke],PF06183,DinI-like family,NC_041904,Pseudomonas phage Zigelbrucke
YP_009598216.1,YP_009598216.1 hypothetical protein FDH21_gp054 [Pseudomonas phage Zigelbrucke],PF03581,Herpesvirus UL33-like protein,NC_041904,Pseudomonas phage Zigelbrucke
YP_009598217.1,YP_009598217.1 hypothetical protein FDH21_gp053 [Pseudomonas phage Zigelbrucke],PF05256,Uncharacterised protein family (UPF0223),NC_041904,Pseudomonas phage Zigelbrucke
YP_009598254.1,YP_009598254.1 hypothetical protein FDH22_gp31 [Acinetobacter phage SH-Ab 15519],PF02529,Cytochrome B6-F complex subunit 5,NC_041905,Acinetobacter phage SH-Ab 15519
YP_009598282.1,YP_009598282.1 hypothetical protein FDH23_gp08 [Escherichia phage EC1-UPM],PF07126,Cell-division protein ZapC C-terminal,NC_041906,Escherichia phage EC1-UPM
YP_009598329.1,YP_009598329.1 hypothetical protein FDH23_gp55 [Escherichia phage EC1-UPM],PF01840,TCL1/MTCP1 family,NC_041906,Escherichia phage EC1-UPM
YP_009598340.1,YP_009598340.1 Rz-like spanin [Escherichia phage EC1-UPM],PF10721,Protein of unknown function (DUF2514),NC_041906,Escherichia phage EC1-UPM
YP_009598349.1,YP_009598349.1 hypothetical protein FDH23_gp75 [Escherichia phage EC1-UPM],PF18478,PIN like domain,NC_041906,Escherichia phage EC1-UPM
YP_009598367.1,YP_009598367.1 toxin [Pseudomonas phage PA26],PF01787,Ilarvirus coat protein,NC_041907,Pseudomonas phage PA26
YP_009598390.1,YP_009598390.1 hypothetical protein FDH24_gp36 [Pseudomonas phage PA26],PF15080,Domain of unknown function (DUF4547),NC_041907,Pseudomonas phage PA26
YP_009598484.1,YP_009598484.1 hypothetical protein FDH25_gp42 [Rhizobium phage RHEph04],PF04210,Tetrahydromethanopterin S-methyltransferase subunit G,NC_041908,Rhizobium phage RHEph04
YP_009598565.1,YP_009598565.1 hypothetical protein FDH26_gp42 [Paenibacillus phage Shelly],PF06064,Host-nuclease inhibitor protein Gam,NC_041909,Paenibacillus phage Shelly
YP_009598991.1,YP_009598991.1 putative serine/threonine-protein kinase [Aquamicrobium phage P14],PF00069,Protein kinase domain,NC_041912,Aquamicrobium phage P14
YP_009599100.1,YP_009599100.1 hypothetical protein FDH30_gp146 [Providencia phage vB_PreS_PR1],PF19785,Family of unknown function (UPF0738),NC_041913,Providencia phage vB_PreS_PR1
YP_009599101.1,YP_009599101.1 hypothetical protein FDH30_gp145 [Providencia phage vB_PreS_PR1],PF05440,Tetrahydromethanopterin S-methyltransferase subunit B,NC_041913,Providencia phage vB_PreS_PR1
YP_009599107.1,YP_009599107.1 anti-termination protein Q-like [Providencia phage vB_PreS_PR1],PF05810,NinF protein,NC_041913,Providencia phage vB_PreS_PR1
YP_009599117.1,YP_009599117.1 hypothetical protein FDH30_gp129 [Providencia phage vB_PreS_PR1],PF11020,Domain of unknown function (DUF2610),NC_041913,Providencia phage vB_PreS_PR1
YP_009599159.1,YP_009599159.1 hypothetical protein FDH30_gp087 [Providencia phage vB_PreS_PR1],PF09591,Protein of unknown function (DUF2463),NC_041913,Providencia phage vB_PreS_PR1
YP_009599172.1,YP_009599172.1 tail assembly chaperone [Providencia phage vB_PreS_PR1],PF03206,Nitrogen fixation protein NifW,NC_041913,Providencia phage vB_PreS_PR1
YP_009599196.1,YP_009599196.1 hypothetical protein FDH31_gp09 [Acinetobacter phage vB_AbaP_AS12],PF11603,Sir1 ORC-binding domain,NC_041914,Acinetobacter phage vB_AbaP_AS12
YP_009599202.1,YP_009599202.1 hypothetical protein FDH31_gp15 [Acinetobacter phage vB_AbaP_AS12],PF06794,Uncharacterised protein family (UPF0270),NC_041914,Acinetobacter phage vB_AbaP_AS12
YP_009599288.1,YP_009599288.1 hypothetical protein FDH33_gp001 [Vibrio phage pTD1],PF19785,Family of unknown function (UPF0738),NC_041916,Vibrio phage pTD1
YP_009599301.1,YP_009599301.1 hypothetical protein FDH33_gp014 [Vibrio phage pTD1],PF07126,Cell-division protein ZapC C-terminal,NC_041916,Vibrio phage pTD1
YP_009599344.1,YP_009599344.1 hypothetical protein FDH33_gp057 [Vibrio phage pTD1],PF01481,Arterivirus nucleocapsid protein,NC_041916,Vibrio phage pTD1
YP_009599345.1,YP_009599345.1 hypothetical protein FDH33_gp058 [Vibrio phage pTD1],PF11378,Protein of unknown function (DUF3181),NC_041916,Vibrio phage pTD1
YP_009599360.1,YP_009599360.1 hypothetical protein FDH33_gp073 [Vibrio phage pTD1],PF06569,Protein of unknown function (DUF1128),NC_041916,Vibrio phage pTD1
YP_009599378.1,YP_009599378.1 phage protein [Vibrio phage pTD1],PF06109,Haemolysin E (HlyE),NC_041916,Vibrio phage pTD1
YP_009599381.1,YP_009599381.1 phage protein [Vibrio phage pTD1],PF14942,Organelle biogenesis Muted-like protein,NC_041916,Vibrio phage pTD1
YP_009599395.1,YP_009599395.1 phage protein [Vibrio phage pTD1],PF05797,Yeast trans-acting factor (REP1/REP2),NC_041916,Vibrio phage pTD1
YP_009599467.1,YP_009599467.1 hypothetical protein FDH33_gp180 [Vibrio phage pTD1],PF05963,Cytomegalovirus US3 protein,NC_041916,Vibrio phage pTD1
YP_009599477.1,YP_009599477.1 hypothetical protein FDH33_gp190 [Vibrio phage pTD1],PF09228,Prokaryotic Transcriptional repressor TraM,NC_041916,Vibrio phage pTD1
YP_009599487.1,YP_009599487.1 phage protein [Vibrio phage pTD1],PF11603,Sir1 ORC-binding domain,NC_041916,Vibrio phage pTD1
YP_009599498.1,YP_009599498.1 hypothetical protein FDH34_gp002 [Serratia phage BF],PF04038,Dihydroneopterin aldolase,NC_041917,Serratia phage BF
YP_009599501.1,YP_009599501.1 hypothetical protein FDH34_gp005 [Serratia phage BF],PF06154,CbeA_antitoxin type IV cytoskeleton bundling-enhancing factor A,NC_041917,Serratia phage BF
YP_009599502.1,YP_009599502.1 hypothetical protein FDH34_gp006 [Serratia phage BF],PF03744,6-carboxyhexanoate--CoA ligase,NC_041917,Serratia phage BF
YP_009599525.1,YP_009599525.1 hypothetical protein FDH34_gp029 [Serratia phage BF],PF17613,Modifier of transcription,NC_041917,Serratia phage BF
YP_009599538.1,YP_009599538.1 hypothetical protein FDH34_gp042 [Serratia phage BF],PF09707,CRISPR-associated protein (Cas_Cas2CT1978),NC_041917,Serratia phage BF
YP_009599542.1,YP_009599542.1 hypothetical protein FDH34_gp046 [Serratia phage BF],PF05612,Leg1,NC_041917,Serratia phage BF
YP_009599546.1,YP_009599546.1 hypothetical protein FDH34_gp050 [Serratia phage BF],PF06591,T4-like phage nuclear disruption protein (Ndd),NC_041917,Serratia phage BF
YP_009599561.1,YP_009599561.1 hypothetical protein FDH34_gp065 [Serratia phage BF],PF10664,Cyanobacterial and plastid NDH-1 subunit M,NC_041917,Serratia phage BF
YP_009599569.1,YP_009599569.1 hypothetical protein FDH34_gp073 [Serratia phage BF],PF20513,Prokaryotic ubiquitin-like protein UBact,NC_041917,Serratia phage BF
YP_009599576.1,YP_009599576.1 hypothetical protein FDH34_gp080 [Serratia phage BF],PF10716,NADH dehydrogenase transmembrane subunit,NC_041917,Serratia phage BF
YP_009599579.1,YP_009599579.1 membrane protein [Serratia phage BF],PF10716,NADH dehydrogenase transmembrane subunit,NC_041917,Serratia phage BF
YP_009599584.1,YP_009599584.1 hypothetical protein FDH34_gp088 [Serratia phage BF],PF04787,Late protein H7,NC_041917,Serratia phage BF
YP_009599607.1,YP_009599607.1 hypothetical protein FDH34_gp111 [Serratia phage BF],PF05810,NinF protein,NC_041917,Serratia phage BF
YP_009599650.1,YP_009599650.1 hypothetical protein FDH34_gp154 [Serratia phage BF],PF04787,Late protein H7,NC_041917,Serratia phage BF
YP_009599656.1,YP_009599656.1 hypothetical protein FDH34_gp160 [Serratia phage BF],PF06085,Lipoprotein Rz1 precursor,NC_041917,Serratia phage BF
YP_009599657.1,YP_009599657.1 structural protein [Serratia phage BF],PF11603,Sir1 ORC-binding domain,NC_041917,Serratia phage BF
YP_009599668.1,YP_009599668.1 membrane protein [Serratia phage BF],PF19080,Family of unknown function (DUF5772),NC_041917,Serratia phage BF
YP_009599671.1,YP_009599671.1 hypothetical protein FDH34_gp175 [Serratia phage BF],PF10465,PinA peptidase inhibitor,NC_041917,Serratia phage BF
YP_009599672.1,YP_009599672.1 hypothetical protein FDH34_gp176 [Serratia phage BF],PF10762,Protein of unknown function (DUF2583),NC_041917,Serratia phage BF
YP_009599705.1,YP_009599705.1 virion structural protein [Serratia phage BF],PF03187,Corona nucleocapsid I protein,NC_041917,Serratia phage BF
YP_009599748.1,YP_009599748.1 virion structural protein [Serratia phage BF],PF11944,Protein of unknown function (DUF3461),NC_041917,Serratia phage BF
YP_009599756.1,YP_009599756.1 hypothetical protein FDH34_gp260 [Serratia phage BF],PF10073,GapR-like DNA-binding domain,NC_041917,Serratia phage BF
YP_009599764.1,YP_009599764.1 virion structural protein [Serratia phage BF],PF02306,Major spike protein (G protein),NC_041917,Serratia phage BF
YP_009599767.1,YP_009599767.1 hypothetical protein FDH34_gp271 [Serratia phage BF],PF05629,Nanovirus component 8 (C8) protein,NC_041917,Serratia phage BF
YP_009599777.1,YP_009599777.1 hypothetical protein FDH34_gp281 [Serratia phage BF],PF04701,Pox virus D2 protein,NC_041917,Serratia phage BF
YP_009599782.1,YP_009599782.1 hypothetical protein FDH34_gp286 [Serratia phage BF],PF04753,Coronavirus non-structural protein NS12.7 family,NC_041917,Serratia phage BF
YP_009599786.1,YP_009599786.1 virion structural protein [Serratia phage BF],PF06569,Protein of unknown function (DUF1128),NC_041917,Serratia phage BF
YP_009599803.1,YP_009599803.1 virion structural protein [Serratia phage BF],PF03072,Domain of unknown function (DUF237),NC_041917,Serratia phage BF
YP_009599822.1,YP_009599822.1 DNA polymerase [Serratia phage BF],PF07733,Bacterial DNA polymerase III alpha NTPase domain,NC_041917,Serratia phage BF
YP_009599834.1,YP_009599834.1 tellurite resistance [Serratia phage BF],PF05816,Toxic anion resistance protein (TelA),NC_041917,Serratia phage BF
YP_009599838.1,YP_009599838.1 virion structural protein [Serratia phage BF],PF03304,Mlp lipoprotein family,NC_041917,Serratia phage BF
YP_009599845.1,YP_009599845.1 ADP-ribosylglycohydrolase [Serratia phage BF],PF03747,ADP-ribosylglycohydrolase,NC_041917,Serratia phage BF
YP_009599853.1,YP_009599853.1 hypothetical protein FDH34_gp357 [Serratia phage BF],PF06924,Protein of unknown function (DUF1281),NC_041917,Serratia phage BF
YP_009599859.1,YP_009599859.1 hypothetical protein FDH34_gp363 [Serratia phage BF],PF17346,Family of unknown function (DUF5376),NC_041917,Serratia phage BF
YP_009599876.1,YP_009599876.1 hypothetical protein FDH34_gp540 [Serratia phage BF],PF07417,Sigma factor-binding transcriptional regulator Crl,NC_041917,Serratia phage BF
YP_009599890.1,YP_009599890.1 hypothetical protein FDH34_gp526 [Serratia phage BF],PF03197,Bacteriophage FRD2 protein,NC_041917,Serratia phage BF
YP_009599904.1,YP_009599904.1 hypothetical protein FDH34_gp512 [Serratia phage BF],PF10622,Energy-converting hydrogenase B subunit P (EhbP),NC_041917,Serratia phage BF
YP_009599919.1,YP_009599919.1 hypothetical protein FDH34_gp497 [Serratia phage BF],PF04363,Protein of unknown function (DUF496),NC_041917,Serratia phage BF
YP_009599952.1,YP_009599952.1 hypothetical protein FDH34_gp464 [Serratia phage BF],PF11603,Sir1 ORC-binding domain,NC_041917,Serratia phage BF
YP_009599955.1,YP_009599955.1 hypothetical protein FDH34_gp461 [Serratia phage BF],PF07288,RNA polymerase epsilon subunit,NC_041917,Serratia phage BF
YP_009599966.1,YP_009599966.1 hypothetical protein FDH34_gp450 [Serratia phage BF],PF11603,Sir1 ORC-binding domain,NC_041917,Serratia phage BF
YP_009599982.1,YP_009599982.1 virion structural protein [Serratia phage BF],PF11909,NADH-quinone oxidoreductase cyanobacterial subunit N,NC_041917,Serratia phage BF
YP_009600002.1,YP_009600002.1 hypothetical protein FDH34_gp414 [Serratia phage BF],PF01775,Ribosomal proteins 50S-L18Ae/60S-L20/60S-L18A,NC_041917,Serratia phage BF
YP_009600005.1,YP_009600005.1 hypothetical protein FDH34_gp411 [Serratia phage BF],PF04786,ssDNA binding protein,NC_041917,Serratia phage BF
YP_009600006.1,YP_009600006.1 hypothetical protein FDH34_gp410 [Serratia phage BF],PF08175,Small acid-soluble spore protein O family,NC_041917,Serratia phage BF
YP_009600018.1,YP_009600018.1 hypothetical protein FDH34_gp398 [Serratia phage BF],PF19163,Family of unknown function (DUF5845),NC_041917,Serratia phage BF
YP_009600025.1,YP_009600025.1 HNH endonuclease [Serratia phage BF],PF05315,ICEA Protein,NC_041917,Serratia phage BF
YP_009600032.1,YP_009600032.1 membrane protein [Serratia phage BF],PF14037,YoqO-like protein,NC_041917,Serratia phage BF
YP_009600034.1,YP_009600034.1 hypothetical protein FDH34_gp382 [Serratia phage BF],PF06693,Protein of unknown function (DUF1190),NC_041917,Serratia phage BF
YP_009600102.1,YP_009600102.1 helicase loader [Geobacillus phage TP-84],PF06992,Replication protein P,NC_041918,Geobacillus phage TP-84
YP_009600164.1,YP_009600164.1 tail fiber protein [Dinoroseobacter phage vB_DshS-R5C],PF09008,Head binding,NC_041921,Dinoroseobacter phage vB_DshS-R5C
YP_009600197.1,YP_009600197.1 hypothetical protein FDH38_gp073 [Dinoroseobacter phage vB_DshS-R5C],PF00922,Vesiculovirus phosphoprotein,NC_041921,Dinoroseobacter phage vB_DshS-R5C
YP_009600205.1,YP_009600205.1 hypothetical protein FDH38_gp081 [Dinoroseobacter phage vB_DshS-R5C],PF09114,Transcription factor MotA activation domain,NC_041921,Dinoroseobacter phage vB_DshS-R5C
YP_009600212.1,YP_009600212.1 N-acetyltransferase [Dinoroseobacter phage vB_DshS-R5C],PF00583,Acetyltransferase (GNAT) family,NC_041921,Dinoroseobacter phage vB_DshS-R5C
YP_009600294.1,YP_009600294.1 hypothetical protein FDH39_gp075 [Salmonella phage Si3],PF04627,Mitochondrial ATP synthase epsilon chain,NC_041922,Salmonella phage Si3
YP_009600295.1,YP_009600295.1 hypothetical protein FDH39_gp074 [Salmonella phage Si3],PF17376,Family of unknown function (DUF5398),NC_041922,Salmonella phage Si3
YP_009600361.1,YP_009600361.1 D-alanyl-D-alanine carboxypeptidase [Salmonella phage Si3],PF08617,Kinase binding protein CGI-121,NC_041922,Salmonella phage Si3
YP_009600451.1,YP_009600451.1 hypothetical protein FDH40_gp085 [Salmonella phage Mushroom],PF03025,Papillomavirus E5,NC_041923,Salmonella phage Mushroom
YP_009600466.1,YP_009600466.1 hypothetical protein FDH40_gp115 [Salmonella phage Mushroom],PF05256,Uncharacterised protein family (UPF0223),NC_041923,Salmonella phage Mushroom
YP_009600481.1,YP_009600481.1 hypothetical protein FDH40_gp100 [Salmonella phage Mushroom],PF19231,Family of unknown function (DUF5884),NC_041923,Salmonella phage Mushroom
